timestamp,entity_id,entity_type,source_ip,geo_location,resource_accessed,auth_method,device_fingerprint,session_duration,status,label
2026-06-25 07:07:00,cf8ebc5a-ccc5-4569-b9e8-a3692999b735,Employee,110.152.194.6,East Jillmouth,VPN_Gateway,MFA_Token,60:d2:7f:88:51:37,6788,SUCCESS,normal
2026-06-25 07:07:00,a33dc7af-d701-410d-bf4b-1a70c074718e,Employee,125.240.58.51,West Scott,VPN_Gateway,MFA_Token,e4:92:78:8b:ab:a3,4016,SUCCESS,normal
2026-06-25 07:08:00,8acd4e10-bc59-4585-9445-28c00ef8c2d6,Employee,84.18.25.238,North Breannahaven,Jira,MFA_Token,98:50:1d:29:5f:23,4715,SUCCESS,normal
2026-06-25 07:08:00,be0f051b-1b66-45a9-a3c4-36571d8cbbac,Employee,6.45.196.230,Cassandramouth,VPN_Gateway,Password,16:68:87:fa:80:1a,6491,SUCCESS,normal
2026-06-25 07:12:00,79e13cea-b0cb-461f-bd85-de89c2171429,Employee,159.105.157.225,Mcguireland,VPN_Gateway,MFA_Token,a8:96:71:cf:7c:9c,4718,SUCCESS,normal
2026-06-25 07:13:00,74273ca3-287d-46ca-af4c-c69a4b22d308,Employee,96.244.217.29,New Rita,Jira,SSO,8a:98:65:4e:bf:52,6181,SUCCESS,normal
2026-06-25 07:14:00,6c12ace8-ae34-4454-8ac5-b68c28f49481,Employee,152.160.7.17,Carlsonmouth,HR_Portal,MFA_Token,1c:80:05:3a:88:ae,3586,SUCCESS,normal
2026-06-25 07:32:00,7631de9d-dde9-4863-a2bd-33886db99102,Employee,181.236.191.95,Murphymouth,Jira,MFA_Token,40:a7:ac:c2:8e:d7,2744,SUCCESS,normal
2026-06-25 07:35:00,9e574f7a-a0ee-49ae-9453-dd324b0dbb41,Employee,219.146.131.158,Lake Chad,HR_Portal,SSO,60:74:94:28:77:33,6594,SUCCESS,normal
2026-06-25 07:35:00,e4855aa1-016b-4287-b008-05cca7f36ae9,Contractor,179.105.41.194,Robinsonhaven,VPN_Gateway,MFA_Token,22:ed:19:7f:3e:e9,5872,SUCCESS,normal
2026-06-25 07:37:00,e117dac3-119c-4ea3-a180-50815958a499,Employee,116.143.78.241,South Martha,Jira,SSO,42:9a:04:99:35:44,3571,SUCCESS,normal
2026-06-25 07:38:00,c5f8bc16-f786-4b50-91c5-8ef0dd463c09,Employee,126.204.162.165,Sheilaville,HR_Portal,Password,98:85:5b:87:13:37,5181,SUCCESS,normal
2026-06-25 07:41:00,87c5421e-ec24-43c5-8754-108ff4188f3f,Employee,218.95.124.135,Smithstad,Jira,Biometric,14:9d:7a:1d:7b:28,4058,SUCCESS,normal
2026-06-25 07:43:00,87f8424d-aae6-4fc1-b6f2-dbfecd29a36f,Admin,197.68.233.193,Salazarhaven,Finance_DB,MFA_Token,42:da:e4:51:f3:e6,6596,SUCCESS,normal
2026-06-25 07:46:00,269cd696-236c-4b87-94a0-bccb8a476a87,Employee,114.113.227.238,North Robert,HR_Portal,Biometric,d4:a9:ee:d4:1f:69,4400,SUCCESS,normal
2026-06-25 08:00:00,8db06746-7927-4973-9e78-1fd794e0d3ba,Employee,55.24.172.232,Michaelmouth,HR_Portal,MFA_Token,b8:8a:9c:80:76:3d,6723,SUCCESS,normal
2026-06-25 08:04:00,e117dac3-119c-4ea3-a180-50815958a499,Employee,116.143.78.241,South Martha,Jira,Password,42:9a:04:99:35:44,4837,SUCCESS,normal
2026-06-25 08:04:00,46d483f3-d450-481c-ac6f-7633a2607723,Employee,99.223.163.130,Lake Tina,HR_Portal,MFA_Token,12:52:e2:da:04:39,880,SUCCESS,normal
2026-06-25 08:14:00,be0f051b-1b66-45a9-a3c4-36571d8cbbac,Employee,6.45.196.230,Cassandramouth,Jira,Biometric,16:68:87:fa:80:1a,5469,SUCCESS,normal
